#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B0F45A
#Date Time: 2022-08-29 19:34:50.492
#Sample rate: 1e+08Hz
#Samples: 32768

Time (s);ADDR;VBLK;W3A09;NMI;IRQ;IMS;W3A0A;FIRQ;BLK
-0.00031201;hFEDB;1;1;0;1;0;1;1;0
-0.000312;hFEDB;1;1;0;1;0;1;1;0
-0.00031199;hFEDB;1;1;0;1;0;1;1;0
-0.00031198;hFEDB;1;1;0;1;0;1;1;0
-0.00031197;hFEDB;1;1;0;1;0;1;1;0
-0.00031196;hFEDB;1;1;0;1;0;1;1;0
-0.00031195;hFEDB;1;1;0;1;0;1;1;0
-0.00031194;hFEDB;1;1;0;1;0;1;1;0
-0.00031193;hFEDB;1;1;0;1;0;1;1;0
-0.00031192;hFEDB;1;1;0;1;0;1;1;0
-0.00031191;hFEDB;1;1;0;1;0;1;1;0
-0.0003119;hFEDB;1;1;0;1;0;1;1;0
-0.00031189;hFEDB;1;1;0;1;0;1;1;0
-0.00031188;hFEDB;1;1;0;1;0;1;1;0
-0.00031187;hFEDB;1;1;0;1;0;1;1;0
-0.00031186;hFEDB;1;1;0;1;0;1;1;0
-0.00031185;hFEDB;1;1;0;1;0;1;1;0
-0.00031184;hFEDB;1;1;0;1;0;1;1;0
-0.00031183;hFEDB;1;1;0;1;0;1;1;0
-0.00031182;hFEDB;1;1;0;1;0;1;1;0
-0.00031181;hFEDB;1;1;0;1;0;1;1;0
-0.0003118;hFEDB;1;1;0;1;0;1;1;0
-0.00031179;hFEDB;1;1;0;1;0;1;1;0
-0.00031178;hFEDB;1;1;0;1;0;1;1;0
-0.00031177;hFEDB;1;1;0;1;0;1;1;0
-0.00031176;hFEDB;1;1;0;1;0;1;1;0
-0.00031175;hFEDB;1;1;0;1;0;1;1;0
-0.00031174;hFEDB;1;1;0;1;0;1;1;0
-0.00031173;hFEDB;1;1;0;1;0;1;1;0
-0.00031172;hFEDB;1;1;0;1;0;1;1;0
-0.00031171;hFEDB;1;1;0;1;0;1;1;0
-0.0003117;hFEDB;1;1;0;1;0;1;1;0
-0.00031169;hFEDB;1;1;0;1;0;1;1;0
-0.00031168;hFEDB;1;1;0;1;0;1;1;0
-0.00031167;hFEDB;1;1;0;1;0;1;1;0
-0.00031166;hFEDB;1;1;0;1;0;1;1;0
-0.00031165;hFEDB;1;1;0;1;0;1;1;0
-0.00031164;hFEDB;1;1;0;1;0;1;1;0
-0.00031163;hFEDB;1;1;0;1;0;1;1;0
-0.00031162;hFEDB;1;1;0;1;0;1;1;0
-0.00031161;hFEDB;1;1;0;1;0;1;1;0
-0.0003116;hFEDB;1;1;0;1;0;1;1;0
-0.00031159;hFEDB;1;1;0;1;0;1;1;0
-0.00031158;hFEDB;1;1;0;1;0;1;1;0
-0.00031157;hFEDB;1;1;0;1;0;1;1;0
-0.00031156;hFEDC;1;1;0;1;0;1;1;0
-0.00031155;hFEDC;1;1;0;1;0;1;1;0
-0.00031154;hFEDC;1;1;0;1;0;1;1;0
-0.00031153;hFEDC;1;1;0;1;0;1;1;0
-0.00031152;hFEDC;1;1;0;1;0;1;1;0
-0.00031151;hFEDC;1;1;0;1;0;1;1;0
-0.0003115;hFEDC;1;1;0;1;0;1;1;0
-0.00031149;hFEDC;1;1;0;1;0;1;1;0
-0.00031148;hFEDC;1;1;0;1;0;1;1;0
-0.00031147;hFEDC;1;1;0;1;0;1;1;0
-0.00031146;hFEDC;1;1;0;1;0;1;1;0
-0.00031145;hFEDC;1;1;0;1;0;1;1;0
-0.00031144;hFEDC;1;1;0;1;0;1;1;0
-0.00031143;hFEDC;1;1;0;1;0;1;1;0
-0.00031142;hFEDC;1;1;0;1;0;1;1;0
-0.00031141;hFEDC;1;1;0;1;0;1;1;0
-0.0003114;hFEDC;1;1;0;1;0;1;1;0
-0.00031139;hFEDC;1;1;0;1;0;1;1;0
-0.00031138;hFEDC;1;1;0;1;0;1;1;0
-0.00031137;hFEDC;1;1;0;1;0;1;1;0
-0.00031136;hFEDC;1;1;0;1;0;1;1;0
-0.00031135;hFEDC;1;1;0;1;0;1;1;0
-0.00031134;hFEDC;1;1;0;1;0;1;1;0
-0.00031133;hFEDC;1;1;0;1;0;1;1;0
-0.00031132;hFEDC;1;1;0;1;0;1;1;0
-0.00031131;hFEDC;1;1;0;1;0;1;1;0
-0.0003113;hFEDC;1;1;0;1;0;1;1;0
-0.00031129;hFEDC;1;1;0;1;0;1;1;0
-0.00031128;hFEDC;1;1;0;1;0;1;1;0
-0.00031127;hFEDC;1;1;0;1;0;1;1;0
-0.00031126;hFEDC;1;1;0;1;0;1;1;0
-0.00031125;hFEDC;1;1;0;1;0;1;1;0
-0.00031124;hFEDC;1;1;0;1;0;1;1;0
-0.00031123;hFEDC;1;1;0;1;0;1;1;0
-0.00031122;hFEDC;1;1;0;1;0;1;1;0
-0.00031121;hFEDC;1;1;0;1;0;1;1;0
-0.0003112;hFEDC;1;1;0;1;0;1;1;0
-0.00031119;hFEDC;1;1;0;1;0;1;1;0
-0.00031118;hFEDC;1;1;0;1;0;1;1;0
-0.00031117;hFEDC;1;1;0;1;0;1;1;0
-0.00031116;hFEDC;1;1;0;1;0;1;1;0
-0.00031115;hFEDC;1;1;0;1;0;1;1;0
-0.00031114;hFEDC;1;1;0;1;0;1;1;0
-0.00031113;hFEDC;1;1;0;1;0;1;1;0
-0.00031112;hFEDC;1;1;0;1;0;1;1;0
-0.00031111;hFEDC;1;1;0;1;0;1;1;0
-0.0003111;hFEDC;1;1;0;1;0;1;1;0
-0.00031109;hFEDC;1;1;0;1;0;1;1;0
-0.00031108;hFEDC;1;1;0;1;0;1;1;0
-0.00031107;hFEDC;1;1;0;1;0;1;1;0
-0.00031106;hFEDC;1;1;0;1;0;1;1;0
-0.00031105;hFEDC;1;1;0;1;0;1;1;0
-0.00031104;hFEDC;1;1;0;1;0;1;1;0
-0.00031103;hFEDC;1;1;0;1;0;1;1;0
-0.00031102;hFEDC;1;1;0;1;0;1;1;0
-0.00031101;hFEDC;1;1;0;1;0;1;1;0
-0.000311;hFEDC;1;1;0;1;0;1;1;0
-0.00031099;hFEDC;1;1;0;1;0;1;1;0
-0.00031098;hFEDC;1;1;0;1;0;1;1;0
-0.00031097;hFEDC;1;1;0;1;0;1;1;0
-0.00031096;hFEDC;1;1;0;1;0;1;1;0
-0.00031095;hFEDC;1;1;0;1;0;1;1;0
-0.00031094;hFEDC;1;1;0;1;0;1;1;0
-0.00031093;hFEDC;1;1;0;1;0;1;1;0
-0.00031092;hFEDC;1;1;0;1;0;1;1;0
-0.00031091;hFEDC;1;1;0;1;0;1;1;0
-0.0003109;hFEDC;1;1;0;1;0;1;1;0
-0.00031089;hFEDD;1;1;0;1;0;1;1;0
-0.00031088;hFEDD;1;1;0;1;0;1;1;0
-0.00031087;hFEDD;1;1;0;1;0;1;1;0
-0.00031086;hFEDD;1;1;0;1;0;1;1;0
-0.00031085;hFEDD;1;1;0;1;0;1;1;0
-0.00031084;hFEDD;1;1;0;1;0;1;1;0
-0.00031083;hFEDD;1;1;0;1;0;1;1;0
-0.00031082;hFEDD;1;1;0;1;0;1;1;0
-0.00031081;hFEDD;1;1;0;1;0;1;1;0
-0.0003108;hFEDD;1;1;0;1;0;1;1;0
-0.00031079;hFEDD;1;1;0;1;0;1;1;0
-0.00031078;hFEDD;1;1;0;1;0;1;1;0
-0.00031077;hFEDD;1;1;0;1;0;1;1;0
-0.00031076;hFEDD;1;1;0;1;0;1;1;0
-0.00031075;hFEDD;1;1;0;1;0;1;1;0
-0.00031074;hFEDD;1;1;0;1;0;1;1;0
-0.00031073;hFEDD;1;1;0;1;0;1;1;0
-0.00031072;hFEDD;1;1;0;1;0;1;1;0
-0.00031071;hFEDD;1;1;0;1;0;1;1;0
-0.0003107;hFEDD;1;1;0;1;0;1;1;0
-0.00031069;hFEDD;1;1;0;1;0;1;1;0
-0.00031068;hFEDD;1;1;0;1;0;1;1;0
-0.00031067;hFEDD;1;1;0;1;0;1;1;0
-0.00031066;hFEDD;1;1;0;1;0;1;1;0
-0.00031065;hFEDD;1;1;0;1;0;1;1;0
-0.00031064;hFEDD;1;1;0;1;0;1;1;0
-0.00031063;hFEDD;1;1;0;1;0;1;1;0
-0.00031062;hFEDD;1;1;0;1;0;1;1;0
-0.00031061;hFEDD;1;1;0;1;0;1;1;0
-0.0003106;hFEDD;1;1;0;1;0;1;1;0
-0.00031059;hFEDD;1;1;0;1;0;1;1;0
-0.00031058;hFEDD;1;1;0;1;0;1;1;0
-0.00031057;hFEDD;1;1;0;1;0;1;1;0
-0.00031056;hFEDD;1;1;0;1;0;1;1;0
-0.00031055;hFEDD;1;1;0;1;0;1;1;0
-0.00031054;hFEDD;1;1;0;1;0;1;1;0
-0.00031053;hFEDD;1;1;0;1;0;1;1;0
-0.00031052;hFEDD;1;1;0;1;0;1;1;0
-0.00031051;hFEDD;1;1;0;1;0;1;1;0
-0.0003105;hFEDD;1;1;0;1;0;1;1;0
-0.00031049;hFEDD;1;1;0;1;0;1;1;0
-0.00031048;hFEDD;1;1;0;1;0;1;1;0
-0.00031047;hFEDD;1;1;0;1;0;1;1;0
-0.00031046;hFEDD;1;1;0;1;0;1;1;0
-0.00031045;hFEDD;1;1;0;1;0;1;1;0
-0.00031044;hFEDD;1;1;0;1;0;1;1;0
-0.00031043;hFEDD;1;1;0;1;0;1;1;0
-0.00031042;hFEDD;1;1;0;1;0;1;1;0
-0.00031041;hFEDD;1;1;0;1;0;1;1;0
-0.0003104;hFEDD;1;1;0;1;0;1;1;0
-0.00031039;hFEDD;1;1;0;1;0;1;1;0
-0.00031038;hFEDD;1;1;0;1;0;1;1;0
-0.00031037;hFEDD;1;1;0;1;0;1;1;0
-0.00031036;hFEDD;1;1;0;1;0;1;1;0
-0.00031035;hFEDD;1;1;0;1;0;1;1;0
-0.00031034;hFEDD;1;1;0;1;0;1;1;0
-0.00031033;hFEDD;1;1;0;1;0;1;1;0
-0.00031032;hFEDD;1;1;0;1;0;1;1;0
-0.00031031;hFEDD;1;1;0;1;0;1;1;0
-0.0003103;hFEDD;1;1;0;1;0;1;1;0
-0.00031029;hFEDD;1;1;0;1;0;1;1;0
-0.00031028;hFEDD;1;1;0;1;0;1;1;0
-0.00031027;hFEDD;1;1;0;1;0;1;1;0
-0.00031026;hFEDD;1;1;0;1;0;1;1;0
-0.00031025;hFEDD;1;1;0;1;0;1;1;0
-0.00031024;hFEDD;1;1;0;1;0;1;1;0
-0.00031023;hFFFD;1;1;0;1;0;1;1;0
-0.00031022;hFFFF;1;1;0;1;0;1;1;0
-0.00031021;hFFFF;1;1;0;1;0;1;1;0
-0.0003102;hFFFF;1;1;0;1;0;1;1;0
-0.00031019;hFFFF;1;1;0;1;0;1;1;0
-0.00031018;hFFFF;1;1;0;1;0;1;1;0
-0.00031017;hFFFF;1;1;0;1;0;1;1;0
-0.00031016;hFFFF;1;1;0;1;0;1;1;0
-0.00031015;hFFFF;1;1;0;1;0;1;1;0
-0.00031014;hFFFF;1;1;0;1;0;1;1;0
-0.00031013;hFFFF;1;1;0;1;0;1;1;0
-0.00031012;hFFFF;1;1;0;1;0;1;1;0
-0.00031011;hFFFF;1;1;0;1;0;1;1;0
-0.0003101;hFFFF;1;1;0;1;0;1;1;0
-0.00031009;hFFFF;1;1;0;1;0;1;1;0
-0.00031008;hFFFF;1;1;0;1;0;1;1;0
-0.00031007;hFFFF;1;1;0;1;0;1;1;0
-0.00031006;hFFFF;1;1;0;1;0;1;1;0
-0.00031005;hFFFF;1;1;0;1;0;1;1;0
-0.00031004;hFFFF;1;1;0;1;0;1;1;0
-0.00031003;hFFFF;1;1;0;1;0;1;1;0
-0.00031002;hFFFF;1;1;0;1;0;1;1;0
-0.00031001;hFFFF;1;1;0;1;0;1;1;0
-0.00031;hFFFF;1;1;0;1;0;1;1;0
-0.00030999;hFFFF;1;1;0;1;0;1;1;0
-0.00030998;hFFFF;1;1;0;1;0;1;1;0
-0.00030997;hFFFF;1;1;0;1;0;1;1;0
-0.00030996;hFFFF;1;1;0;1;0;1;1;0
-0.00030995;hFFFF;1;1;0;1;0;1;1;0
-0.00030994;hFFFF;1;1;0;1;0;1;1;0
-0.00030993;hFFFF;1;1;0;1;0;1;1;0
-0.00030992;hFFFF;1;1;0;1;0;1;1;0
-0.00030991;hFFFF;1;1;0;1;0;1;1;0
-0.0003099;hFFFF;1;1;0;1;0;1;1;0
-0.00030989;hFFFF;1;1;0;1;0;1;1;0
-0.00030988;hFFFF;1;1;0;1;0;1;1;0
-0.00030987;hFFFF;1;1;0;1;0;1;1;0
-0.00030986;hFFFF;1;1;0;1;0;1;1;0
-0.00030985;hFFFF;1;1;0;1;0;1;1;0
-0.00030984;hFFFF;1;1;0;1;0;1;1;0
-0.00030983;hFFFF;1;1;0;1;0;1;1;0
-0.00030982;hFFFF;1;1;0;1;0;1;1;0
-0.00030981;hFFFF;1;1;0;1;0;1;1;0
-0.0003098;hFFFF;1;1;0;1;0;1;1;0
-0.00030979;hFFFF;1;1;0;1;0;1;1;0
-0.00030978;hFFFF;1;1;0;1;0;1;1;0
-0.00030977;hFFFF;1;1;0;1;0;1;1;0
-0.00030976;hFFFF;1;1;0;1;0;1;1;0
-0.00030975;hFFFF;1;1;0;1;0;1;1;0
-0.00030974;hFFFF;1;1;0;1;0;1;1;0
-0.00030973;hFFFF;1;1;0;1;0;1;1;0
-0.00030972;hFFFF;1;1;0;1;0;1;1;0
-0.00030971;hFFFF;1;1;0;1;0;1;1;0
-0.0003097;hFFFF;1;1;0;1;0;1;1;0
-0.00030969;hFFFF;1;1;0;1;0;1;1;0
-0.00030968;hFFFF;1;1;0;1;0;1;1;0
-0.00030967;hFFFF;1;1;0;1;0;1;1;0
-0.00030966;hFFFF;1;1;0;1;0;1;1;0
-0.00030965;hFFFF;1;1;0;1;0;1;1;0
-0.00030964;hFFFF;1;1;0;1;0;1;1;0
-0.00030963;hFFFF;1;1;0;1;0;1;1;0
-0.00030962;hFFFF;1;1;0;1;0;1;1;0
-0.00030961;hFFFF;1;1;0;1;0;1;1;0
-0.0003096;hFFFF;1;1;0;1;0;1;1;0
-0.00030959;hFFFF;1;1;0;1;0;1;1;0
-0.00030958;hFFFF;1;1;0;1;0;1;1;0
-0.00030957;hFFFF;1;1;0;1;0;1;1;0
-0.00030956;hFEE6;1;1;0;1;0;1;1;0
-0.00030955;hFEE6;1;1;0;1;0;1;1;0
-0.00030954;hFEE6;1;1;0;1;0;1;1;0
-0.00030953;hFEE6;1;1;0;1;0;1;1;0
-0.00030952;hFEE6;1;1;0;1;0;1;1;0
-0.00030951;hFEE6;1;1;0;1;0;1;1;0
-0.0003095;hFEE6;1;1;0;1;0;1;1;0
-0.00030949;hFEE6;1;1;0;1;0;1;1;0
-0.00030948;hFEE6;1;1;0;1;0;1;1;0
-0.00030947;hFEE6;1;1;0;1;0;1;1;0
-0.00030946;hFEE6;1;1;0;1;0;1;1;0
-0.00030945;hFEE6;1;1;0;1;0;1;1;0
-0.00030944;hFEE6;1;1;0;1;0;1;1;0
-0.00030943;hFEE6;1;1;0;1;0;1;1;0
-0.00030942;hFEE6;1;1;0;1;0;1;1;0
-0.00030941;hFEE6;1;1;0;1;0;1;1;0
-0.0003094;hFEE6;1;1;0;1;0;1;1;0
-0.00030939;hFEE6;1;1;0;1;0;1;1;0
-0.00030938;hFEE6;1;1;0;1;0;1;1;0
-0.00030937;hFEE6;1;1;0;1;0;1;1;0
-0.00030936;hFEE6;1;1;0;1;0;1;1;0
-0.00030935;hFEE6;1;1;0;1;0;1;1;0
-0.00030934;hFEE6;1;1;0;1;0;1;1;0
-0.00030933;hFEE6;1;1;0;1;0;1;1;0
-0.00030932;hFEE6;1;1;0;1;0;1;1;0
-0.00030931;hFEE6;1;1;0;1;0;1;1;0
-0.0003093;hFEE6;1;1;0;1;0;1;1;0
-0.00030929;hFEE6;1;1;0;1;0;1;1;0
-0.00030928;hFEE6;1;1;0;1;0;1;1;0
-0.00030927;hFEE6;1;1;0;1;0;1;1;0
-0.00030926;hFEE6;1;1;0;1;0;1;1;0
-0.00030925;hFEE6;1;1;0;1;0;1;1;0
-0.00030924;hFEE6;1;1;0;1;0;1;1;0
-0.00030923;hFEE6;1;1;0;1;0;1;1;0
-0.00030922;hFEE6;1;1;0;1;0;1;1;0
